Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,,
496,30,C (all),[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,[253-504],Unf,0,[1-260],[713-1068],GasA,TA,N,FuseA,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,4,Typ,0,NA,NA,0,NA,0,0,NA,NA,N,0,[473-531],[112-148],0,0,0,NA,GdWo,NA,0,11,2009,WD,Abnorml,C1,34900,
969,50,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,6,1910,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],Grav,Fa,N,SBrkr,[360-718],[203-404],0,[521-1040],0,0,1,0,2,1,TA,6,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,5,2009,WD,Abnorml,C1,37900,
31,70,C (all),[43-63],[1-23917],Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,TA,N,SBrkr,[360-718],[607-808],0,[1041-1560],0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,[152-302],TA,Fa,N,0,[1-59],[149-185],0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,C1,40000,
711,30,RL,[43-63],[1-23917],Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,6,1930,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,0,[261-520],[1-356],GasA,Gd,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,5,Maj2,0,NA,NA,0,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,C1,52000,
637,30,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,2,3,1930,1950,Gable,CompShg,AsbShng,AsbShng,None,0,Fa,Fa,BrkTil,TA,Fa,No,Unf,0,Unf,0,[261-520],[1-356],Grav,Fa,N,FuseA,[719-1077],0,0,[521-1040],0,0,1,0,1,1,Fa,4,Maj1,1,Po,NA,0,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,1,2009,ConLw,Normal,C1,60000,
376,30,RL,0,[1-23917],Pave,NA,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,[253-504],Unf,0,[261-520],[357-712],GasA,Gd,N,FuseA,[719-1077],0,0,[521-1040],1,0,0,1,1,1,Fa,4,Maj1,0,NA,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2009,WD,Normal,C1,61000,
1433,30,RL,[43-63],[1-23917],Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,TA,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,2,0,4,1,TA,5,Typ,0,NA,Detchd,1920,Unf,1,[152-302],Fa,Fa,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,C1,64500,
621,30,RL,[43-63],[1-23917],Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1910,1950,Gable,CompShg,Stucco,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,[1-252],Unf,0,[781-1040],[713-1068],GasA,TA,N,FuseF,[719-1077],0,0,[521-1040],1,0,1,0,2,1,TA,5,Typ,0,NA,NA,0,NA,0,0,NA,NA,N,0,0,[75-111],0,0,0,NA,NA,NA,0,9,2008,WD,Normal,C1,67000,
1280,50,C (all),[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,4,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,TA,Y,FuseA,[360-718],[405-606],0,[1041-1560],0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1980,RFn,2,[454-604],TA,TA,Y,[1-82],0,[149-185],0,0,0,NA,NA,NA,0,4,2010,COD,Abnorml,C1,68400,
30,30,RM,[43-63],[1-23917],Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,[261-520],[357-712],GasA,Fa,N,SBrkr,[360-718],0,0,[1-520],0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,[152-302],Fa,TA,Y,[1-82],0,[75-111],0,0,0,NA,NA,NA,0,5,2008,WD,Normal,C1,68500,
916,160,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,5,1970,1970,Gable,CompShg,CemntBd,CmentBd,BrkFace,[1-154],TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,Fa,Y,SBrkr,[360-718],[405-606],0,[1041-1560],0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1970,Unf,1,[152-302],TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,1,2007,WD,Normal,C1,75000,
384,45,RH,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,0,[781-1040],[713-1068],GasA,TA,N,FuseA,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1950,Unf,2,[303-453],Fa,Fa,N,0,0,[75-111],0,0,0,NA,NA,NA,0,10,2009,WD,Normal,C1,76000,
243,50,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,[521-780],[357-712],GasA,Gd,N,FuseA,[719-1077],[405-606],0,[1041-1560],0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1940,Unf,1,[303-453],Fa,TA,Y,0,0,[75-111],0,0,0,NA,NA,NA,0,4,2006,WD,Normal,C1,79000,
1327,30,RH,[64-84],[1-23917],Pave,NA,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,3,6,1930,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Rec,[505-756],Unf,0,0,[357-712],GasA,Ex,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,3,1,Gd,6,Typ,0,NA,NA,0,NA,0,0,NA,NA,Y,0,0,[260-296],0,0,0,NA,NA,NA,0,5,2007,WD,Normal,C1,79000,
432,50,RM,[43-63],[1-23917],Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1990,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,[781-1040],[713-1068],GasA,Gd,Y,SBrkr,[1078-1436],[1-202],0,[1041-1560],0,0,1,0,4,1,TA,7,Typ,0,NA,NA,0,NA,0,0,NA,NA,N,0,[60-118],0,0,0,0,NA,MnPrv,NA,0,9,2008,ConLD,Abnorml,C1,79900,
936,30,RL,[43-63],[1-23917],Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,[1-154],TA,Gd,PConc,Fa,TA,Mn,Unf,0,Unf,0,[521-780],[357-712],GasA,Gd,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,1,1,TA,5,Typ,0,NA,Detchd,1950,Unf,2,[454-604],TA,TA,Y,0,0,[1-37],0,0,0,NA,NA,NA,0,6,2006,WD,Normal,C1,79900,
69,30,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,[521-780],[713-1068],GasA,TA,Y,SBrkr,[719-1077],0,0,[521-1040],0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1940,Unf,1,[152-302],TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,C1,80000,
1040,180,RM,[1-21],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,4,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],[357-712],GasA,TA,Y,SBrkr,[360-718],0,0,[521-1040],1,0,1,0,1,1,TA,3,Typ,0,NA,Attchd,1970,Unf,1,[152-302],TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,C1,80000,
1219,50,RM,[43-63],[1-23917],Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,5,1940,1950,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,GasA,Gd,N,SBrkr,[360-718],[203-404],0,[521-1040],0,0,1,0,2,1,TA,3,Typ,0,NA,NA,0,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,C1,80500,
