BldgType,ExterQual,1stFlrSF,2ndFlrSF,BedroomAbvGr
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[360-718],[203-404],2,C1
1Fam,TA,[360-718],[607-808],3,C1
1Fam,Gd,[719-1077],0,2,C1
1Fam,Fa,[719-1077],0,1,C1
1Fam,Fa,[719-1077],0,1,C1
1Fam,TA,[719-1077],0,4,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[360-718],[405-606],2,C1
1Fam,TA,[360-718],0,1,C1
Twnhs,TA,[360-718],[405-606],3,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],[405-606],3,C1
1Fam,TA,[719-1077],0,3,C1
1Fam,TA,[1078-1436],[1-202],4,C1
1Fam,TA,[719-1077],0,1,C1
1Fam,TA,[719-1077],0,2,C1
TwnhsE,TA,[360-718],0,1,C1
1Fam,TA,[360-718],[203-404],2,C1
1Fam,TA,[360-718],[405-606],5,C1
Twnhs,TA,[360-718],0,1,C1
1Fam,Fa,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,1,C1
1Fam,Fa,[360-718],0,2,C1
Twnhs,TA,[360-718],[405-606],2,C1
1Fam,TA,[719-1077],0,3,C1
Twnhs,TA,[360-718],0,1,C1
1Fam,TA,[1078-1436],0,3,C1
TwnhsE,TA,[360-718],[405-606],3,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[1078-1436],[607-808],4,C1
1Fam,TA,[719-1077],[203-404],2,C1
1Fam,TA,[719-1077],0,3,C1
1Fam,TA,[719-1077],0,3,C1
TwnhsE,TA,[360-718],[405-606],3,C1
1Fam,TA,[360-718],0,2,C1
TwnhsE,TA,[360-718],[405-606],2,C1
Duplex,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,3,C1
1Fam,TA,[719-1077],[405-606],4,C1
Twnhs,TA,[360-718],[405-606],3,C1
Duplex,TA,[719-1077],0,2,C1
2fmCon,Fa,[719-1077],0,2,C1
1Fam,TA,[1078-1436],0,3,C1
1Fam,TA,[719-1077],0,3,C1
Twnhs,TA,[360-718],[405-606],2,C1
1Fam,TA,[719-1077],0,3,C1
1Fam,TA,[360-718],[405-606],3,C1
2fmCon,TA,[719-1077],[607-808],3,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],0,3,C1
TwnhsE,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],[203-404],3,C1
1Fam,TA,[719-1077],0,2,C1
Twnhs,TA,[360-718],[405-606],2,C1
1Fam,TA,[360-718],[405-606],3,C1
Duplex,TA,[1078-1436],0,2,C1
1Fam,TA,[1078-1436],0,2,C1
1Fam,TA,[719-1077],0,2,C1
1Fam,TA,[719-1077],[203-404],2,C1
1Fam,TA,[360-718],[607-808],3,C1
1Fam,TA,[719-1077],[203-404],4,C1
1Fam,Fa,[719-1077],[405-606],2,C1
1Fam,TA,[360-718],[405-606],2,C1
1Fam,TA,[360-718],[405-606],3,C1
Twnhs,TA,[360-718],[405-606],2,C1
1Fam,TA,[719-1077],[1011-1212],2,C1
TwnhsE,TA,[360-718],[607-808],3,C1
2fmCon,TA,[360-718],[405-606],3,C1
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],[405-606],3,C2
1Fam,TA,[1078-1436],0,3,C2
1Fam,Gd,[719-1077],[607-808],3,C2
1Fam,TA,[1078-1436],[809-1010],4,C2
1Fam,TA,[360-718],0,2,C2
1Fam,TA,[1078-1436],0,2,C2
1Fam,TA,[719-1077],[405-606],3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],[607-808],4,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[1078-1436],0,2,C2
Duplex,Fa,[719-1077],0,2,C2
1Fam,TA,[360-718],[405-606],2,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[1078-1436],0,2,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],[405-606],2,C2
1Fam,TA,[1078-1436],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
2fmCon,TA,[719-1077],[607-808],2,C2
1Fam,TA,[719-1077],[607-808],3,C2
Twnhs,TA,[360-718],[405-606],3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[1078-1436],0,3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[1437-1795],0,3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],[405-606],3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],[203-404],2,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],[607-808],2,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],[405-606],3,C2
1Fam,TA,[719-1077],[607-808],3,C2
2fmCon,TA,[719-1077],0,2,C2
1Fam,TA,[1078-1436],0,2,C2
Twnhs,TA,[360-718],[405-606],3,C2
Duplex,TA,[719-1077],0,3,C2
1Fam,Gd,[719-1077],[607-808],5,C2
Duplex,TA,[1437-1795],0,4,C2
Duplex,TA,[1437-1795],0,6,C2
1Fam,Gd,[719-1077],0,2,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
TwnhsE,TA,[360-718],[405-606],3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[1078-1436],0,2,C2
1Fam,TA,[719-1077],[203-404],3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[1078-1436],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],[1213-1414],4,C2
TwnhsE,TA,[719-1077],[405-606],2,C2
1Fam,TA,[1078-1436],0,3,C2
1Fam,TA,[719-1077],0,2,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[719-1077],0,3,C2
1Fam,TA,[1078-1436],[607-808],3,C2
TwnhsE,TA,[360-718],[607-808],2,C2
Duplex,TA,[1437-1795],0,4,C3
1Fam,TA,[1078-1436],0,3,C3
Duplex,TA,[719-1077],[809-1010],4,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,2,C3
Duplex,TA,[1437-1795],0,6,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],[203-404],3,C3
1Fam,TA,[719-1077],[203-404],3,C3
Duplex,TA,[1078-1436],[405-606],4,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],[203-404],2,C3
1Fam,TA,[719-1077],[405-606],3,C3
TwnhsE,TA,[719-1077],[405-606],4,C3
2fmCon,TA,[719-1077],[405-606],4,C3
1Fam,TA,[719-1077],0,2,C3
Duplex,TA,[719-1077],0,4,C3
TwnhsE,TA,[719-1077],0,2,C3
TwnhsE,TA,[719-1077],0,2,C3
1Fam,TA,[719-1077],[607-808],3,C3
1Fam,TA,[719-1077],[607-808],4,C3
1Fam,TA,[719-1077],[607-808],3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,2,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,2,C3
1Fam,TA,[1078-1436],0,3,C3
2fmCon,TA,[719-1077],0,3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[719-1077],0,3,C3
1Fam,TA,[1078-1436],[809-1010],3,C3
Twnhs,Gd,[719-1077],[607-808],3,C3
Twnhs,Gd,[719-1077],[607-808],3,C3
1Fam,TA,[1078-1436],0,3,C3
1Fam,TA,[719-1077],0,3,C3
