Condition1,Exterior1st,Exterior2nd,Fireplaces,FireplaceQu
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,VinylSd,VinylSd,0,NA,C1
Feedr,BrkFace,BrkFace,0,NA,C1
Norm,VinylSd,VinylSd,0,NA,C1
Norm,AsbShng,AsbShng,1,Po,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,Stucco,Stucco,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Feedr,MetalSd,MetalSd,0,NA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Feedr,MetalSd,MetalSd,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Artery,MetalSd,MetalSd,0,NA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Norm,AsbShng,AsbShng,0,NA,C1
Feedr,Wd Sdng,VinylSd,0,NA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Feedr,Wd Sdng,AsbShng,0,NA,C1
Norm,VinylSd,VinylSd,0,NA,C1
Norm,VinylSd,VinylSd,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Norm,VinylSd,VinylSd,0,NA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
RRAe,MetalSd,MetalSd,0,NA,C1
Norm,AsbShng,Stucco,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Norm,Wd Sdng,Wd Shng,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,BrkFace,Stone,0,NA,C1
Norm,Wd Sdng,Wd Sdng,1,Gd,C1
Artery,MetalSd,MetalSd,1,TA,C1
Norm,CemntBd,CmentBd,0,NA,C1
Norm,BrkFace,BrkFace,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Norm,Wd Sdng,Wd Sdng,1,Gd,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,HdBoard,HdBoard,1,Po,C1
Norm,HdBoard,HdBoard,0,NA,C1
Artery,VinylSd,VinylSd,0,NA,C1
Artery,HdBoard,HdBoard,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,BrkFace,BrkFace,0,NA,C1
Norm,Stucco,Stucco,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Norm,Plywood,Plywood,1,TA,C1
Norm,AsbShng,AsbShng,0,NA,C1
Feedr,WdShing,Wd Shng,2,TA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C1
Norm,Wd Sdng,Wd Sdng,1,Gd,C1
Norm,MetalSd,MetalSd,0,NA,C1
Artery,Wd Sdng,Wd Sdng,0,NA,C1
Norm,AsbShng,AsbShng,0,NA,C1
Artery,CBlock,CBlock,0,NA,C1
Norm,WdShing,Wd Shng,0,NA,C1
Artery,Wd Sdng,Wd Sdng,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,AsbShng,AsbShng,0,NA,C1
Norm,HdBoard,HdBoard,0,NA,C1
Norm,MetalSd,MetalSd,0,NA,C1
Norm,Wd Sdng,Wd Sdng,0,NA,C2
Norm,MetalSd,MetalSd,0,NA,C2
