HouseStyle,Foundation,Electrical,FullBath,HalfBath
1Story,CBlock,FuseA,1,0,C1
1.5Fin,BrkTil,SBrkr,1,0,C1
2Story,BrkTil,SBrkr,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,BrkTil,FuseA,1,0,C1
1Story,BrkTil,FuseA,0,1,C1
1Story,BrkTil,SBrkr,2,0,C1
1Story,BrkTil,FuseF,1,0,C1
1.5Fin,CBlock,FuseA,1,0,C1
1Story,BrkTil,SBrkr,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
1.5Unf,BrkTil,FuseA,1,0,C1
1.5Fin,BrkTil,FuseA,1,0,C1
1Story,BrkTil,SBrkr,1,0,C1
1.5Fin,BrkTil,SBrkr,1,0,C1
1Story,PConc,SBrkr,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
SFoyer,CBlock,SBrkr,1,0,C1
1.5Fin,Slab,SBrkr,1,0,C1
1.5Fin,PConc,SBrkr,1,0,C1
SFoyer,CBlock,SBrkr,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
1Story,Slab,SBrkr,1,0,C1
SFoyer,CBlock,SBrkr,1,0,C1
1Story,PConc,SBrkr,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
1Story,PConc,FuseA,1,0,C1
1.5Unf,CBlock,FuseF,1,0,C1
2Story,BrkTil,SBrkr,2,0,C1
1.5Fin,CBlock,FuseA,1,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,BrkTil,SBrkr,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
1Story,CBlock,SBrkr,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
1Story,Slab,FuseF,2,0,C1
1Story,BrkTil,SBrkr,1,0,C1
1.5Fin,CBlock,FuseA,1,0,C1
2Story,CBlock,SBrkr,1,1,C1
1Story,Slab,FuseA,2,0,C1
1Story,CBlock,SBrkr,1,0,C1
1Story,Slab,SBrkr,1,0,C1
1Story,PConc,SBrkr,1,0,C1
