MSSubClass,LotFrontage,LotShape,LotConfig,KitchenQual
30,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
70,[43-63],Reg,Inside,TA,C1
30,[43-63],IR1,Inside,TA,C1
30,[43-63],Reg,Inside,Fa,C1
30,0,IR1,Inside,Fa,C1
30,[43-63],Reg,Inside,TA,C1
30,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
30,[43-63],IR1,Inside,Fa,C1
160,[1-21],Reg,Inside,TA,C1
45,[43-63],Reg,Corner,TA,C1
50,[43-63],Reg,Corner,TA,C1
30,[64-84],Reg,Inside,Gd,C1
50,[43-63],IR1,Inside,TA,C1
30,[43-63],IR1,Inside,TA,C1
30,[43-63],Reg,Corner,TA,C1
180,[1-21],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,FR2,TA,C1
180,[1-21],Reg,Inside,TA,C1
20,[43-63],Reg,Inside,TA,C1
30,0,IR1,Inside,TA,C1
30,[43-63],Reg,Inside,Fa,C1
160,[1-21],Reg,Inside,TA,C1
20,0,IR1,CulDSac,TA,C1
180,[1-21],Reg,Inside,TA,C1
20,[85-105],Reg,Inside,TA,C1
160,[22-42],Reg,Inside,TA,C1
30,[43-63],IR1,Inside,Fa,C1
45,[43-63],Reg,Inside,TA,C1
70,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
20,0,IR1,Corner,TA,C1
30,[43-63],Reg,Inside,TA,C1
160,[1-21],Reg,Inside,TA,C1
30,[43-63],Reg,Inside,TA,C1
160,[1-21],Reg,Inside,TA,C1
90,[43-63],Reg,Inside,TA,C1
30,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
160,[1-21],Reg,Inside,TA,C1
90,[43-63],Reg,Corner,TA,C1
20,[43-63],Reg,Inside,TA,C1
20,[64-84],Reg,Corner,TA,C1
20,[43-63],Reg,Inside,TA,C1
160,[1-21],Reg,Inside,TA,C1
20,[64-84],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
190,[106-126],IR1,Corner,TA,C1
45,[43-63],Reg,Inside,TA,C1
20,[64-84],Reg,FR2,TA,C1
20,[64-84],Reg,Inside,TA,C1
30,[64-84],Reg,Inside,TA,C1
20,[43-63],Reg,Inside,TA,C1
120,[43-63],Reg,Inside,TA,C1
50,[43-63],Reg,Inside,TA,C1
30,0,Reg,Corner,TA,C1
160,[1-21],Reg,Inside,TA,C1
75,[43-63],Reg,Inside,Fa,C1
90,[64-84],Reg,FR2,TA,C1
20,[64-84],Reg,Inside,TA,C1
30,[43-63],Reg,Corner,TA,C1
