Neighborhood,OverallCond,MasVnrType,MasVnrArea,HeatingQC
IDOTRR,5,None,0,TA,C1
OldTown,6,None,0,Fa,C1
IDOTRR,4,None,0,TA,C1
BrkSide,6,None,0,Gd,C1
BrkSide,3,None,0,Fa,C1
Edwards,1,None,0,Gd,C1
OldTown,6,None,0,TA,C1
Edwards,3,None,0,TA,C1
IDOTRR,4,None,0,TA,C1
BrkSide,6,None,0,Fa,C1
MeadowV,5,BrkFace,[1-154],Fa,C1
SawyerW,3,None,0,TA,C1
OldTown,4,None,0,Gd,C1
Edwards,6,None,0,Ex,C1
OldTown,7,None,0,Gd,C1
BrkSide,5,BrkFace,[1-154],Gd,C1
OldTown,6,None,0,TA,C1
MeadowV,4,None,0,TA,C1
BrkSide,5,None,0,Gd,C1
Edwards,3,None,0,TA,C1
MeadowV,7,None,0,Gd,C1
SawyerW,4,None,0,Gd,C1
Edwards,5,None,0,Ex,C1
BrkSide,7,None,0,Gd,C1
BrDale,5,BrkFace,[309-462],TA,C1
Edwards,3,None,0,Ex,C1
MeadowV,6,None,0,Gd,C1
Mitchel,5,None,0,Ex,C1
MeadowV,3,None,0,TA,C1
BrkSide,7,None,0,TA,C1
IDOTRR,6,None,0,Po,C1
OldTown,2,None,0,Fa,C1
OldTown,5,None,0,Gd,C1
NAmes,4,None,0,TA,C1
BrkSide,7,None,0,TA,C1
MeadowV,4,None,0,TA,C1
BrkSide,7,None,0,Gd,C1
BrDale,3,BrkFace,[463-616],TA,C1
NAmes,5,None,0,Fa,C1
IDOTRR,4,None,0,Fa,C1
Edwards,3,None,0,Fa,C1
BrDale,5,BrkFace,[155-308],TA,C1
NAmes,4,None,0,Fa,C1
OldTown,4,None,0,TA,C1
Edwards,5,None,0,Gd,C1
Mitchel,5,None,0,TA,C1
BrDale,5,BrkFace,[155-308],TA,C1
Edwards,5,BrkFace,[1-154],TA,C1
Edwards,6,None,0,TA,C1
OldTown,5,None,0,TA,C1
Crawfor,5,None,0,Fa,C1
NAmes,6,None,0,Gd,C1
OldTown,5,None,0,Gd,C1
Edwards,6,None,0,TA,C1
NAmes,5,None,0,Gd,C1
SawyerW,5,None,0,TA,C1
IDOTRR,5,None,0,Gd,C1
BrkSide,5,None,0,TA,C1
BrDale,5,BrkFace,[155-308],TA,C1
IDOTRR,7,None,0,TA,C1
NAmes,5,None,0,TA,C1
Edwards,5,None,0,TA,C1
BrkSide,5,None,0,TA,C1
IDOTRR,7,None,0,Gd,C1
Edwards,6,None,0,TA,C1
Edwards,7,None,0,Gd,C1
OldTown,6,None,0,Ex,C1
Edwards,5,None,0,TA,C1
OldTown,4,None,0,TA,C1
BrDale,6,BrkFace,[1-154],TA,C1
OldTown,5,None,0,TA,C1
BrDale,5,BrkFace,[155-308],TA,C1
OldTown,7,None,0,TA,C1
IDOTRR,6,None,0,Ex,C2
OldTown,4,None,0,Fa,C2
Edwards,5,None,0,TA,C2
OldTown,6,None,0,Gd,C2
OldTown,4,None,0,TA,C2
Sawyer,8,None,0,Ex,C2
Edwards,5,None,0,Ex,C2
IDOTRR,6,None,0,Gd,C2
Edwards,6,None,0,Ex,C2
Edwards,5,None,0,TA,C2
OldTown,6,None,0,Ex,C2
OldTown,4,None,0,Gd,C2
NAmes,7,None,0,TA,C2
BrkSide,6,None,0,Gd,C2
IDOTRR,7,None,0,Ex,C2
IDOTRR,5,None,0,TA,C2
OldTown,6,None,0,Gd,C2
CollgCr,6,None,0,TA,C2
Edwards,5,None,0,Ex,C2
NAmes,5,BrkFace,[1-154],TA,C2
OldTown,6,None,0,Gd,C2
Edwards,5,BrkFace,[1-154],Ex,C2
NAmes,5,None,0,TA,C2
OldTown,6,None,0,Gd,C2
Sawyer,7,None,0,Ex,C2
OldTown,6,None,0,Gd,C2
CollgCr,5,None,0,TA,C2
OldTown,5,None,0,Gd,C2
Edwards,4,None,0,TA,C2
BrDale,5,BrkFace,[155-308],TA,C2
NAmes,5,None,[1-154],Ex,C2
OldTown,5,None,0,Ex,C2
SWISU,5,None,0,Ex,C2
OldTown,6,None,0,Gd,C2
Mitchel,4,BrkFace,[1-154],TA,C2
NAmes,5,None,0,TA,C2
OldTown,8,None,0,TA,C2
NAmes,5,None,0,TA,C2
OldTown,8,None,0,TA,C2
NAmes,5,None,0,Gd,C2
OldTown,8,None,0,Gd,C2
OldTown,7,None,0,Ex,C2
BrkSide,8,None,0,Ex,C2
Edwards,5,None,0,Ex,C2
BrkSide,6,None,0,Ex,C2
NAmes,5,None,0,TA,C2
BrDale,7,BrkFace,[155-308],Gd,C2
Edwards,5,BrkFace,[1-154],TA,C2
SWISU,5,None,0,TA,C2
SawyerW,5,None,0,TA,C2
NAmes,4,BrkFace,[1-154],TA,C2
BrkSide,7,None,0,Gd,C2
NAmes,7,None,0,TA,C2
SawyerW,5,None,0,Gd,C2
SawyerW,6,None,0,TA,C2
NAmes,6,BrkFace,[155-308],Ex,C2
OldTown,6,None,0,Ex,C2
BrkSide,7,None,0,TA,C2
NAmes,6,None,0,TA,C2
NAmes,6,None,0,TA,C2
BrkSide,6,None,0,Fa,C2
Sawyer,6,BrkFace,[155-308],TA,C2
CollgCr,6,None,0,TA,C2
Sawyer,5,BrkFace,[1-154],TA,C2
OldTown,5,None,0,Fa,C2
BrDale,5,BrkFace,[309-462],Ex,C2
NAmes,6,None,0,TA,C2
CollgCr,5,None,0,TA,C2
NAmes,5,None,0,TA,C2
CollgCr,5,None,0,Ex,C2
CollgCr,5,BrkFace,[1-154],TA,C2
OldTown,6,None,0,TA,C2
Blueste,6,None,0,TA,C2
NAmes,5,None,0,TA,C3
