OverallQual,RoofStyle,WoodDeckSF,OpenPorchSF,SaleType
4,Gable,0,[473-531],WD,C1
3,Gable,0,0,WD,C1
4,Gambrel,0,[1-59],WD,C1
3,Gable,0,0,WD,C1
2,Gable,0,0,ConLw,C1
1,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
3,Gable,0,0,WD,C1
4,Gable,[1-82],0,COD,C1
4,Gable,[1-82],0,WD,C1
4,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
3,Gable,0,0,WD,C1
6,Gable,0,[60-118],ConLD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
5,Gambrel,0,[119-177],WD,C1
4,Gable,[83-164],0,WD,C1
4,Gable,[247-328],0,WD,C1
4,Gable,[83-164],0,WD,C1
4,Hip,[83-164],0,WD,C1
6,Gable,[1-82],0,WD,C1
4,Gable,[165-246],0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,[1-82],[1-59],WD,C1
5,Gable,[165-246],0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,[165-246],0,WD,C1
5,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
3,Hip,0,[60-118],WD,C1
5,Gable,0,0,WD,C1
6,Gable,[165-246],0,WD,C1
3,Gable,0,0,WD,C1
4,Gable,0,[1-59],WD,C1
5,Gable,0,[1-59],WD,C1
5,Gable,0,[1-59],Oth,C1
6,Gable,0,0,WD,C1
4,Hip,[83-164],0,WD,C1
5,Gable,[1-82],0,ConLw,C1
3,Gable,0,[60-118],WD,C1
5,Gable,0,0,WD,C1
4,Gable,[165-246],0,WD,C1
5,Gable,0,[1-59],WD,C1
5,Gable,0,0,WD,C1
5,Hip,0,[1-59],WD,C1
6,Gable,[1-82],0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,COD,C1
6,Gable,0,[119-177],WD,C1
4,Gable,[1-82],0,WD,C1
6,Gambrel,[83-164],0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
3,Gable,[165-246],0,WD,C1
6,Gable,0,0,WD,C1
5,Hip,[1-82],[119-177],WD,C1
5,Gable,0,0,WD,C1
4,Gable,[165-246],[60-118],WD,C1
4,Gable,0,[1-59],WD,C2
4,Gable,0,[119-177],WD,C2
6,Gable,[83-164],0,WD,C2
3,Gambrel,0,0,WD,C2
5,Gable,0,[237-295],WD,C2
5,Gable,[165-246],0,WD,C2
4,Gable,0,[60-118],WD,C2
4,Gable,0,[1-59],COD,C2
