BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,BsmtFullBath,BsmtHalfBath
TA,TA,No,Rec,[253-504],Unf,0,[1-260],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Unf,0,Unf,0,[261-520],0,0,C1
TA,Fa,No,Unf,0,Unf,0,[261-520],0,0,C1
Fa,Po,Gd,BLQ,[253-504],Unf,0,[261-520],1,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,BLQ,[1-252],Unf,0,[781-1040],1,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Unf,0,Unf,0,[261-520],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
Fa,Fa,No,Unf,0,Unf,0,[781-1040],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Rec,[505-756],Unf,0,0,0,0,C1
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,C1
Fa,TA,Mn,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,C1
Gd,TA,Av,ALQ,[253-504],Unf,0,[1-260],1,0,C1
TA,Fa,No,Unf,0,Unf,0,[521-780],0,0,C1
TA,TA,No,BLQ,[253-504],Unf,0,[521-780],0,0,C1
TA,TA,No,LwQ,[253-504],Unf,0,[1-260],0,0,C1
TA,Fa,No,BLQ,[253-504],Unf,0,[1-260],0,0,C1
NA,NA,NA,NA,0,NA,0,0,0,0,C1
Gd,TA,Av,BLQ,[1-252],GLQ,[379-504],0,1,0,C1
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,C1
Gd,TA,No,Rec,[1-252],BLQ,[127-252],[1-260],0,0,C1
Gd,TA,No,Unf,0,Unf,0,[261-520],0,0,C1
TA,TA,Av,BLQ,[1-252],Unf,0,[521-780],0,0,C1
TA,Fa,No,Unf,0,Unf,0,[1041-1300],1,0,C1
TA,TA,No,LwQ,[253-504],Unf,0,[521-780],0,0,C1
TA,TA,No,BLQ,[505-756],Unf,0,[1-260],0,0,C1
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,C1
